"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"6455",2002-01-08,"Qatar","Zimbabwe",0,2,"Friendly","Doha","Qatar",FALSE,"QAT","ZIM"
"6456",2002-01-09,"Cuba","Guatemala",0,0,"Friendly","Havana","Cuba",FALSE,"CUB","GUA"
"6457",2002-01-10,"Bahrain","Albania",3,0,"Prime Minister's Cup","Riffa","Bahrain",FALSE,"BHR","ALB"
"6458",2002-01-10,"Finland","North Macedonia",3,0,"Prime Minister's Cup","Riffa","Bahrain",TRUE,"FIN","MKD"
"6459",2002-01-10,"Mali","Zambia",1,1,"Friendly","Kayès","Mali",FALSE,"MLI","ZAM"
"6460",2002-01-10,"Saudi Arabia","Iceland",1,0,"Friendly","Riyadh","Saudi Arabia",FALSE,"KSA","ISL"
"6461",2002-01-11,"Egypt","Burkina Faso",2,2,"Friendly","Cairo","Egypt",FALSE,"EGY","BFA"
"6462",2002-01-11,"Grenada","Trinidad and Tobago",2,3,"Friendly","St. George's","Grenada",FALSE,"GRN","TRI"
"6463",2002-01-11,"Iraq","Oman",2,0,"Friendly","Doha","Qatar",TRUE,"IRQ","OMA"
"6464",2002-01-11,"Tunisia","Cameroon",0,1,"Friendly","Tunis","Tunisia",FALSE,"TUN","CMR"
"6465",2002-01-12,"Ecuador","Guatemala",1,0,"Friendly","Guayaquil","Ecuador",FALSE,"ECU","GUA"
"6466",2002-01-12,"Ivory Coast","Nigeria",1,1,"Friendly","Abidjan","Ivory Coast",FALSE,"CIV","NGA"
"6467",2002-01-13,"Morocco","Guinea",2,1,"Friendly","Rabat","Morocco",FALSE,"MAR","GUI"
"6468",2002-01-13,"Qatar","Iraq",1,3,"Friendly","Doha","Qatar",FALSE,"QAT","IRQ"
"6469",2002-01-14,"Algeria","Benin",4,0,"Friendly","Algiers","Algeria",FALSE,"ALG","BEN"
"6470",2002-01-15,"South Africa","Angola",1,0,"Friendly","Mafikeng","South Africa",FALSE,"RSA","ANG"
"6471",2002-01-16,"Gambia","Morocco",0,2,"Friendly","Banjul","Gambia",FALSE,"GAM","MAR"
"6472",2002-01-16,"Saudi Arabia","Kuwait",1,1,"Gulf Cup","Riyadh","Saudi Arabia",FALSE,"KSA","KUW"
"6473",2002-01-17,"Qatar","Bahrain",1,0,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"QAT","BHR"
"6474",2002-01-17,"United Arab Emirates","Oman",1,0,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"UAE","OMA"
"6475",2002-01-18,"Haiti","Canada",0,2,"Gold Cup","Miami","United States",TRUE,"HAI","CAN"
"6476",2002-01-18,"Martinique","Costa Rica",0,2,"Gold Cup","Miami","United States",TRUE,"MTQ","CRC"
"6477",2002-01-19,"El Salvador","Mexico",0,1,"Gold Cup","Pasadena","United States",TRUE,"SLV","MEX"
"6478",2002-01-19,"Kuwait","Oman",1,3,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"KUW","OMA"
"6479",2002-01-19,"Mali","Liberia",1,1,"African Cup of Nations","Bamako","Mali",FALSE,"MLI","LBR"
"6480",2002-01-19,"Saint Kitts and Nevis","Grenada",1,1,"Friendly","Basseterre","Saint Kitts and Nevis",FALSE,"KNA","GRN"
"6481",2002-01-19,"United States","South Korea",2,1,"Gold Cup","Pasadena","United States",FALSE,"USA","KOR"
"6482",2002-01-20,"Antigua and Barbuda","Dominica",4,0,"Friendly","St. John's","Antigua and Barbuda",FALSE,"ATG","DMA"
"6483",2002-01-20,"Cameroon","DR Congo",1,0,"African Cup of Nations","Sikasso","Mali",TRUE,"CMR","COD"
"6484",2002-01-20,"Costa Rica","Trinidad and Tobago",1,1,"Gold Cup","Miami","United States",TRUE,"CRC","TRI"
"6485",2002-01-20,"Ecuador","Haiti",0,2,"Gold Cup","Miami","United States",TRUE,"ECU","HAI"
"6486",2002-01-20,"Egypt","Senegal",0,1,"African Cup of Nations","Bamako","Mali",TRUE,"EGY","SEN"
"6487",2002-01-20,"Saudi Arabia","Bahrain",3,1,"Gulf Cup","Riyadh","Saudi Arabia",FALSE,"KSA","BHR"
"6488",2002-01-20,"South Africa","Burkina Faso",0,0,"African Cup of Nations","Ségou","Mali",TRUE,"RSA","BFA"
"6489",2002-01-20,"United Arab Emirates","Qatar",0,2,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"UAE","QAT"
"6490",2002-01-21,"Algeria","Nigeria",0,1,"African Cup of Nations","Bamako","Mali",TRUE,"ALG","NGA"
"6491",2002-01-21,"Mexico","Guatemala",3,1,"Gold Cup","Pasadena","United States",TRUE,"MEX","GUA"
"6492",2002-01-21,"Morocco","Ghana",0,0,"African Cup of Nations","Ségou","Mali",TRUE,"MAR","GHA"
"6493",2002-01-21,"Togo","Ivory Coast",0,0,"African Cup of Nations","Sikasso","Mali",TRUE,"TOG","CIV"
"6494",2002-01-21,"United States","Cuba",1,0,"Gold Cup","Pasadena","United States",FALSE,"USA","CUB"
"6495",2002-01-21,"Zambia","Tunisia",0,0,"African Cup of Nations","Bamako","Mali",TRUE,"ZAM","TUN"
"6496",2002-01-22,"Canada","Ecuador",0,2,"Gold Cup","Miami","United States",TRUE,"CAN","ECU"
"6497",2002-01-22,"Kuwait","Bahrain",0,0,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"KUW","BHR"
"6498",2002-01-22,"Trinidad and Tobago","Martinique",0,1,"Gold Cup","Miami","United States",TRUE,"TRI","MTQ"
"6499",2002-01-23,"Guatemala","El Salvador",0,1,"Gold Cup","Pasadena","United States",TRUE,"GUA","SLV"
"6500",2002-01-23,"South Korea","Cuba",0,0,"Gold Cup","Pasadena","United States",TRUE,"KOR","CUB"
"6501",2002-01-24,"Mali","Nigeria",0,0,"African Cup of Nations","Bamako","Mali",FALSE,"MLI","NGA"
"6502",2002-01-24,"South Africa","Ghana",0,0,"African Cup of Nations","Ségou","Mali",TRUE,"RSA","GHA"
"6503",2002-01-24,"Oman","Qatar",1,2,"Gulf Cup","Riyadh","Saudi Arabia",TRUE,"OMA","QAT"
"6504",2002-01-24,"Saudi Arabia","United Arab Emirates",1,0,"Gulf Cup","Riyadh","Saudi Arabia",FALSE,"KSA","UAE"
"6505",2002-01-25,"Cameroon","Ivory Coast",1,0,"African Cup of Nations","Sikasso","Mali",TRUE,"CMR","CIV"
"6506",2002-01-25,"Egypt","Tunisia",1,0,"African Cup of Nations","Bamako","Mali",TRUE,"EGY","TUN"
"6507",2002-01-25,"Liberia","Algeria",2,2,"African Cup of Nations","Bamako","Mali",TRUE,"LBR","ALG"
