팀,구분,연도,기록
한화,장타력,2015,0.486
한화,장타력,2016,0.445
한화,장타력,2017,0.437
한화,장타력,2018,0.448
한화,장타력,2019,0.414
한화,장타력,2020,0.408
한화,OPS,1982,NA
한화,OPS,1983,NA
한화,OPS,1984,NA
한화,OPS,1985,NA
한화,OPS,1986,NA
한화,OPS,1987,NA
한화,OPS,1988,NA
한화,OPS,1989,NA
한화,OPS,1990,NA
한화,OPS,1991,NA
한화,OPS,1992,NA
한화,OPS,1993,NA
한화,OPS,1994,NA
한화,OPS,1995,NA
한화,OPS,1996,NA
한화,OPS,1997,NA
한화,OPS,1998,NA
한화,OPS,1999,NA
한화,OPS,2000,NA
한화,OPS,2001,NA
한화,OPS,2002,NA
한화,OPS,2003,NA
한화,OPS,2004,NA
한화,OPS,2005,NA
한화,OPS,2006,NA
한화,OPS,2007,NA
한화,OPS,2008,0.698
한화,OPS,2009,0.789
한화,OPS,2010,0.714
한화,OPS,2011,0.676
한화,OPS,2012,0.696
한화,OPS,2013,0.771
한화,OPS,2014,0.899
한화,OPS,2015,0.858
한화,OPS,2016,0.88
한화,OPS,2017,0.794
한화,OPS,2018,0.823
한화,OPS,2019,0.768
한화,OPS,2020,0.763
한화,타율,1982,NA
한화,타율,1983,NA
한화,타율,1984,NA
한화,타율,1985,NA
한화,타율,1986,0.236
한화,타율,1987,0.274
한화,타율,1988,0.266
한화,타율,1989,0.276
한화,타율,1990,0.275
한화,타율,1991,0.274
한화,타율,1992,0.267
한화,타율,1993,0.238
한화,타율,1994,0.247
한화,타율,1995,0.249
한화,타율,1996,0.245
한화,타율,1997,0.253
한화,타율,1998,0.254
한화,타율,1999,0.284
한화,타율,2000,0.277
한화,타율,2001,0.275
한화,타율,2002,0.256
한화,타율,2003,0.254
한화,타율,2004,0.268
한화,타율,2005,0.272
한화,타율,2006,0.253
한화,타율,2007,0.254
한화,타율,2008,0.254
한화,타율,2009,0.269
한화,타율,2010,0.244
한화,타율,2011,0.255
한화,타율,2012,0.249
한화,타율,2013,0.259
한화,타율,2014,0.283
한화,타율,2015,0.271
한화,타율,2016,0.289
한화,타율,2017,0.287
한화,타율,2018,0.275
한화,타율,2019,0.256
한화,타율,2020,0.245
KIA,출루율,1982,NA
KIA,출루율,1983,NA
KIA,출루율,1984,NA
KIA,출루율,1985,NA
KIA,출루율,1986,0.323
KIA,출루율,1987,0.342
KIA,출루율,1988,0.334
KIA,출루율,1989,0.346
KIA,출루율,1990,0.355
KIA,출루율,1991,0.353
KIA,출루율,1992,0.352
KIA,출루율,1993,0.317
KIA,출루율,1994,0.324
KIA,출루율,1995,0.323
KIA,출루율,1996,0.328
KIA,출루율,1997,0.325
KIA,출루율,1998,0.316
KIA,출루율,1999,0.353
KIA,출루율,2000,0.347
KIA,출루율,2001,0.357
KIA,출루율,2002,0.329
KIA,출루율,2003,0.343
KIA,출루율,2004,0.344
KIA,출루율,2005,0.345
KIA,출루율,2006,0.331
KIA,출루율,2007,0.342
KIA,출루율,2008,0.333
KIA,출루율,2009,0.348
KIA,출루율,2010,0.336
KIA,출루율,2011,0.338
KIA,출루율,2012,0.338
KIA,출루율,2013,0.343
KIA,출루율,2014,0.359
KIA,출루율,2015,0.36
KIA,출루율,2016,0.362
KIA,출루율,2017,0.355
KIA,출루율,2018,0.348
KIA,출루율,2019,0.324
KIA,출루율,2020,0.32
KIA,장타력,1982,NA
KIA,장타력,1983,NA
KIA,장타력,1984,NA
KIA,장타력,1985,NA
KIA,장타력,1986,0.325
KIA,장타력,1987,0.368
KIA,장타력,1988,0.387
KIA,장타력,1989,0.411
KIA,장타력,1990,0.42
KIA,장타력,1991,0.434
KIA,장타력,1992,0.435
